Comment,Designator,Footprint,LCSC Part #,Qty,Notes
10uF/25V 0805,"C1,C2",C_0805_2012Metric,,2,X7R; JLCPCB basic pick
22uF/10V 0805,C3,C_0805_2012Metric,,1,X7R; JLCPCB basic pick
4.7uF/16V 0805,C4,C_0805_2012Metric,,1,Q3 gate blanking F-03
1N4148WS,"D1-D8,D10,D13,D15-D22",D_SOD-323,C118873,18,D15-D22 series U2 IOx F-01
SMAJ15A,D9,D_SMA,C113958,1,TVS 15V uni
BZX84C6V2,"D11,D12,D14",SOT-23,C179522,3,VGS clamp 6.2V
PTC 1A/24V 1206,F1,Fuse_1206_3216Metric,C2760272,1,not C20800 (6V)
2.2uH 1008,L1,L_1008_2520Metric,C88527,1,TDK VLS252010HBX-2R2M-1
SI2301CDS,"Q1,Q5,Q6",SOT-23,C10487,3,P-FET
2N7002LT1G,"Q2,Q3",SOT-23,C16338,2,N-FET latch
100k 0402,"R1,R2,R13",R_0402_1005Metric,,3,R13 BUSY blanking F-03
0R 0402,R5,R_0402_1005Metric,,1,VOS sense F-02
10k 0402,"R3,R4,R9",R_0402_1005Metric,,3,basic
10 0402,R12,R_0402_1005Metric,,1,J6 LED series F-04
470k 0402,R6,R_0402_1005Metric,,1,Q5 gate pulldown E-RPP-01
4.7k 0402,"R7,R8,R11",R_0402_1005Metric,,3,VGS series
1k 0402,R10,R_0402_1005Metric,,1,basic
TPS62163DSGR,U1,WSON-8-1EP_2x2mm,C97534,1,order spare (stock limited)
