"Designator","Comment","Footprint","Qty","LCSC Part #","MPN","Manufacturer","Datasheet","Description"
"C1,C2","10u/25V","Capacitor_SMD:C_0805_2012Metric","2","","","","","Unpolarized capacitor"
"C3","22u/10V","Capacitor_SMD:C_0805_2012Metric","1","","","","","Unpolarized capacitor"
"C4","4.7u/16V","Capacitor_SMD:C_0805_2012Metric","1","","","","","Q3 gate blanking (F-03)"
"D1-D8,D10,D15-D22","1N4148WS","Diode_SMD:D_SOD-323","17","C118873","","","","Diode; D15-D22 series U2 IOx (F-01)"
"D9","SMAJ15A","Diode_SMD:D_SMA","1","C113958","","","","Bidirectional transient-voltage-suppression diode"
"D11,D12,D14","BZX84C6V2","vogelstimmen:BZX84C6V2","3","C179522","","","https://www.lcsc.com/product-detail/C179522.html","VGS clamp Q6 SET P-FET; K=12V_PROT A=Q6_GATE,Zener 6.2V VGS clamp for SI2301; K=Source A=Gate"
"D13","1N4148WS","Diode_SMD:D_SOD-323","1","","","","",""
"F1","1A/24V","Fuse:Fuse_1206_3216Metric","1","C2760272","","","","Resettable fuse, polymeric positive temperature coefficient"
"J1","J_BAT","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","1","","","","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J2","J_SPK","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","1","","","","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J3","J_BTN_IO","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-8-2.54_1x08_P2.54mm_Horizontal","1","","","","","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J4","J_BTN_GND","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-8-2.54_1x08_P2.54mm_Horizontal","1","","","","","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J5","K07.90","vogelstimmen:K07.90","1","","","","docs/datasheets/Kuebler_K04-K07_AK07.pdf","Kübler K07.90; Bestellnr 1.130.900.008 (4.5V DC 10Hz) an 5V; Alt 1.130.900.012 (12V)"
"J6","J_LED","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","1","","","","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"L1","2.2uH","Inductor_SMD:L_1008_2520Metric","1","C88527","","","","Inductor"
"Q1,Q5","SI2301","Package_TO_SOT_SMD:SOT-23","2","C10487","","","http://assets.nexperia.com/documents/data-sheet/BSS84.pdf","-0.13A Id, -50V Vds, P-Channel MOSFET, SOT-23"
"Q2,Q3","2N7002","Package_TO_SOT_SMD:SOT-23","2","C16338","","","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","0.115A Id, 60V Vds, N-Channel MOSFET, SOT-23"
"Q6","SI2301","Package_TO_SOT_SMD:SOT-23","1","","","","",""
"R1,R2,R13","100k","Resistor_SMD:R_0402_1005Metric","3","","","","","Resistor; R13 BUSY blanking (F-03)"
"R5","0R","Resistor_SMD:R_0402_1005Metric","1","","","","","VOS sense link (F-02)"
"R3,R4,R9","10k","Resistor_SMD:R_0402_1005Metric","3","","","","","Resistor"
"R12","10","Resistor_SMD:R_0402_1005Metric","1","","","","","J6 LED series (F-04)"
"R6","470k","Resistor_SMD:R_0402_1005Metric","1","","","","","Resistor"
"R7,R8,R11","4.7k","Resistor_SMD:R_0402_1005Metric","3","","","","","Gate series resistor for VGS zener clamp,Q6 gate series for VGS clamp"
"R10","1k","Resistor_SMD:R_0402_1005Metric","1","","","","",""
"TP1","12V_PROT","TestPoint:TestPoint_Pad_D1.0mm","1","","","","","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"
"TP2","5V","TestPoint:TestPoint_Pad_D1.0mm","1","","","","","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"
"TP3","GND","TestPoint:TestPoint_Pad_D1.0mm","1","","","","","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"
"TP4","BUSY","TestPoint:TestPoint_Pad_D1.0mm","1","","","","","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"
"TP5","SPK+","TestPoint:TestPoint_Pad_D1.0mm","1","","","","","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"
"U1","TPS62163","Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm","1","C97534","","","https://www.ti.com/lit/ds/symlink/tps62163.pdf","1A Step-Down Converter, Fixed 5V Output, WSON-8"
"U2","DY-SV17F","vogelstimmen:DY-SV17F","1","","","","","MP3/WAV Audio Module with 8 IO triggers, 5W Class-D amp, USB"
