Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u/25V","C_0805_2012Metric",177.000000,-120.500000,0.000000,top
"C2","10u/25V","C_0805_2012Metric",159.500000,-90.500000,90.000000,top
"C3","22u/10V","C_0805_2012Metric",173.000000,-94.000000,-90.000000,top
"D1","1N4148WS","D_SOD-323",127.350000,-80.132500,90.000000,top
"D2","1N4148WS","D_SOD-323",131.350000,-80.132500,90.000000,top
"D3","1N4148WS","D_SOD-323",135.350000,-80.132500,90.000000,top
"D4","1N4148WS","D_SOD-323",139.350000,-80.132500,90.000000,top
"D5","1N4148WS","D_SOD-323",143.350000,-80.132500,90.000000,top
"D6","1N4148WS","D_SOD-323",147.350000,-80.132500,90.000000,top
"D7","1N4148WS","D_SOD-323",151.350000,-80.132500,90.000000,top
"D8","1N4148WS","D_SOD-323",155.350000,-80.132500,90.000000,top
"D9","SMAJ15A","D_SMA",171.981250,-120.000000,90.000000,top
"D10","1N4148WS","D_SOD-323",174.000000,-87.500000,0.000000,top
"D11","BZX84C6V2","BZX84C6V2",156.000000,-122.500000,-90.000000,top
"D12","BZX84C6V2","BZX84C6V2",163.000000,-111.000000,90.000000,top
"D13","1N4148WS","D_SOD-323",175.000000,-108.000000,180.000000,top
"D14","BZX84C6V2","BZX84C6V2",166.500000,-100.000000,-90.000000,top
"F1","1A/24V","Fuse_1206_3216Metric",167.000000,-118.000000,0.000000,top
"L1","2.2uH","L_1008_2520Metric",169.500000,-90.975000,0.000000,top
"Q1","SI2301","SOT-23",167.000000,-106.500000,0.000000,top
"Q2","2N7002","SOT-23",173.000000,-103.500000,-90.000000,top
"Q3","2N7002","SOT-23",159.990000,-105.000000,0.000000,top
"Q5","SI2301","SOT-23",162.500000,-118.000000,0.000000,top
"Q6","SI2301","SOT-23",161.437500,-99.950000,0.000000,top
"R1","100k","R_0402_1005Metric",163.000000,-107.000000,0.000000,top
"R2","100k","R_0402_1005Metric",176.500000,-112.000000,0.000000,top
"R3","10k","R_0402_1005Metric",157.510000,-108.000000,-90.000000,top
"R4","10k","R_0402_1005Metric",171.000000,-112.000000,0.000000,top
"R5","100k","R_0402_1005Metric",167.000000,-94.000000,90.000000,top
"R6","470k","R_0402_1005Metric",156.990000,-116.500000,90.000000,top
"R7","4.7k","R_0402_1005Metric",157.000000,-119.000000,90.000000,top
"R8","4.7k","R_0402_1005Metric",168.500000,-103.500000,0.000000,top
"R9","10k","R_0402_1005Metric",157.500000,-101.000000,180.000000,top
"R10","1k","R_0402_1005Metric",163.500000,-98.500000,0.000000,top
"R11","4.7k","R_0402_1005Metric",157.500000,-97.500000,0.000000,top
"U1","TPS62163","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",164.000000,-90.975000,0.000000,top
