Comment,Designator,Footprint,LCSC Part #
10uF/25V 0805,"C1,C2",C_0805_2012Metric,C440198
22uF/10V 0805,C3,C_0805_2012Metric,C45783
4.7uF/16V 0805,C4,C_0805_2012Metric,C1779
1N4148WS,"D1,D2,D3,D4,D5,D6,D7,D8,D10,D13,D15,D16,D17,D18,D19,D20,D21,D22",D_SOD-323,C118873
SMAJ15A,D9,D_SMA,C113958
BZX84C6V2,"D11,D12,D14",SOT-23,C179522
PTC 1A/24V 1206,F1,Fuse_1206_3216Metric,C2760272
2.2uH 1008,L1,L_1008_2520Metric,C88527
SI2301CDS,"Q1,Q5,Q6",SOT-23,C10487
2N7002LT1G,"Q2,Q3",SOT-23,C16338
100k 0402,"R1,R2,R13",R_0402_1005Metric,C25741
0R 0402,R5,R_0402_1005Metric,C17168
10k 0402,"R3,R4,R9",R_0402_1005Metric,C25744
10 0402,R12,R_0402_1005Metric,C25077
470k 0402,R6,R_0402_1005Metric,C25790
4.7k 0402,"R7,R8,R11",R_0402_1005Metric,C25900
1k 0402,R10,R_0402_1005Metric,C11702
TPS62163DSGR,U1,WSON-8-1EP_2x2mm,C97534
