Designator,Mid X,Mid Y,Layer,Rotation
C1,177.000000,-120.500000,top,0.000000
C2,159.500000,-90.500000,top,90.000000
C3,173.000000,-94.000000,top,-90.000000
C4,163.000000,-103.000000,top,0.000000
D1,130.000000,-78.500000,top,90.000000
D2,133.500000,-78.500000,top,90.000000
D3,137.000000,-78.500000,top,90.000000
D4,140.350000,-78.500000,top,90.000000
D5,144.000000,-78.500000,top,90.000000
D6,147.500000,-78.500000,top,90.000000
D7,151.000000,-78.500000,top,90.000000
D8,154.500000,-78.500000,top,90.000000
D9,171.981250,-120.000000,top,90.000000
D10,174.000000,-87.500000,top,0.000000
D11,156.000000,-122.500000,top,-90.000000
D12,163.000000,-111.000000,top,90.000000
D13,175.000000,-108.000000,top,180.000000
D14,166.500000,-100.000000,top,-90.000000
D15,127.500000,-91.200000,top,-90.000000
D16,131.000000,-91.200000,top,-90.000000
D17,134.500000,-91.200000,top,-90.000000
D18,137.960000,-91.200000,top,-90.000000
D19,141.500000,-91.200000,top,-90.000000
D20,145.000000,-91.200000,top,-90.000000
D21,148.500000,-91.200000,top,-90.000000
D22,152.000000,-91.500000,top,-90.000000
F1,167.000000,-118.000000,top,0.000000
L1,169.500000,-90.975000,top,0.000000
Q1,167.000000,-106.500000,top,0.000000
Q2,173.000000,-103.500000,top,-90.000000
Q3,159.990000,-105.000000,top,0.000000
Q5,162.500000,-118.000000,top,0.000000
Q6,161.437500,-99.950000,top,0.000000
R1,162.500000,-108.500000,top,0.000000
R2,176.500000,-112.000000,top,0.000000
R3,146.500000,-119.500000,top,0.000000
R4,171.000000,-112.000000,top,0.000000
R5,167.000000,-94.000000,top,90.000000
R6,156.990000,-116.500000,top,90.000000
R7,157.000000,-119.000000,top,90.000000
R8,168.500000,-103.500000,top,0.000000
R9,157.500000,-101.000000,top,180.000000
R10,163.500000,-98.500000,top,0.000000
R11,157.500000,-97.500000,top,0.000000
R12,173.000000,-114.500000,top,0.000000
R13,157.000000,-105.000000,top,90.000000
U1,164.000000,-90.975000,top,0.000000
