Comment,Designator,Footprint,LCSC Part #
10uF/25V 0805,"C1,C2",C_0805_2012Metric,C440198
22uF/10V 0805,C3,C_0805_2012Metric,C45783
4.7uF/16V 0805,C4,C_0805_2012Metric,C1779
1uF/25V 0603 Basic,C20,C_0603_1608Metric,C23630
1N4148WS,"D1,D2,D3,D4,D5,D6,D7,D8,D10,D13,D15,D16,D17,D18,D19,D20,D21,D22,D23",D_SOD-323,C118873
SMAJ15A,D9,D_SMA,C113958
BZX84C6V2,"D11,D12,D14",SOT-23,C179522
PTC 1A/24V 1206,F1,Fuse_1206_3216Metric,C2760272
2.2uH 1008,L1,L_1008_2520Metric,C88527
SI2301CDS,"Q1,Q5,Q6",SOT-23,C10487
2N7002LT1G,"Q2,Q3",SOT-23,C16338
AO3400,Q7,SOT-23,C20917
100k 0603 Basic,"R1,R2,R13,R20",R_0603_1608Metric,C25803
0R 0603 Basic,R5,R_0603_1608Metric,C21189
10k 0603 Basic,"R3,R4,R9",R_0603_1608Metric,C25804
10R 0603 Basic,R12,R_0603_1608Metric,C22859
100R 0603 Basic,R21,R_0603_1608Metric,C25796
470k 0603 Basic,R6,R_0603_1608Metric,C23178
4.7k 0603 Basic,"R7,R8,R11",R_0603_1608Metric,C23162
1k 0603 Basic,R10,R_0603_1608Metric,C21190
TPS62163DSGR,U1,WSON-8-1EP_2x2mm,C97534
