Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u/25V","C_0805_2012Metric",177.000000,-120.500000,0.000000,top
"C2","10u/25V","C_0805_2012Metric",159.500000,-90.500000,90.000000,top
"C3","22u/10V","C_0805_2012Metric",174.000000,-88.500000,0.000000,top
"C4","4.7u/16V","C_0805_2012Metric",163.000000,-103.000000,0.000000,top
"C20","1u/25V","C_0603_1608Metric",202.725000,-115.000000,0.000000,top
"D1","1N4148WS","D_SOD-323",130.000000,-78.500000,90.000000,top
"D2","1N4148WS","D_SOD-323",133.500000,-78.500000,90.000000,top
"D3","1N4148WS","D_SOD-323",137.000000,-78.500000,90.000000,top
"D4","1N4148WS","D_SOD-323",140.350000,-78.500000,90.000000,top
"D5","1N4148WS","D_SOD-323",144.000000,-78.500000,90.000000,top
"D6","1N4148WS","D_SOD-323",147.500000,-78.500000,90.000000,top
"D7","1N4148WS","D_SOD-323",151.000000,-78.500000,90.000000,top
"D8","1N4148WS","D_SOD-323",154.500000,-78.500000,90.000000,top
"D9","SMAJ15A","D_SMA",171.981250,-120.000000,90.000000,top
"D10","1N4148WS","D_SOD-323",188.500000,-115.000000,180.000000,top
"D11","BZX84C6V2","BZX84C6V2",156.000000,-122.500000,-90.000000,top
"D12","BZX84C6V2","BZX84C6V2",163.000000,-112.000000,90.000000,top
"D13","1N4148WS","D_SOD-323",175.000000,-108.000000,180.000000,top
"D14","BZX84C6V2","BZX84C6V2",169.000000,-99.500000,-90.000000,top
"D15","1N4148WS","D_SOD-323",127.500000,-91.200000,-90.000000,top
"D16","1N4148WS","D_SOD-323",131.000000,-91.200000,-90.000000,top
"D17","1N4148WS","D_SOD-323",134.500000,-91.200000,-90.000000,top
"D18","1N4148WS","D_SOD-323",137.960000,-91.200000,-90.000000,top
"D19","1N4148WS","D_SOD-323",141.500000,-91.200000,-90.000000,top
"D20","1N4148WS","D_SOD-323",145.000000,-91.200000,-90.000000,top
"D21","1N4148WS","D_SOD-323",148.500000,-91.200000,-90.000000,top
"D22","1N4148WS","D_SOD-323",152.000000,-91.500000,-90.000000,top
"D23","1N4148WS","D_SOD-323",200.000000,-118.450000,-90.000000,top
"F1","1A/24V","Fuse_1206_3216Metric",167.000000,-118.000000,0.000000,top
"J1","MPT-0,5/2 BAT","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",162.000000,-124.000000,0.000000,top
"J2","MPT-0,5/2 SPK","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",134.580000,-123.692500,0.000000,top
"J3","MPT-0,5/8 IO","TerminalBlock_Phoenix_MPT-0,5-8-2.54_1x08_P2.54mm_Horizontal",149.390000,-85.132500,180.000000,top
"J4","MPT-0,5/8 GND","TerminalBlock_Phoenix_MPT-0,5-8-2.54_1x08_P2.54mm_Horizontal",158.610000,-74.867500,0.000000,top
"J5","Hengstler 0.635.128","CNT_HENGSTLER_635",194.000000,-96.500000,180.000000,top
"J6","MPT-0,5/2 LED","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",184.730000,-124.192500,0.000000,top
"L1","2.2uH","L_1008_2520Metric",169.500000,-90.975000,0.000000,top
"Q1","SI2301","SOT-23",167.000000,-106.500000,0.000000,top
"Q2","2N7002","SOT-23",173.000000,-103.500000,-90.000000,top
"Q3","2N7002","SOT-23",159.990000,-105.000000,0.000000,top
"Q5","SI2301","SOT-23",162.500000,-118.000000,0.000000,top
"Q6","SI2301","SOT-23",161.437500,-99.950000,0.000000,top
"Q7","AO3400","SOT-23",191.500000,-118.000000,180.000000,top
"R1","100k","R_0603_1608Metric",162.500000,-108.500000,0.000000,top
"R2","100k","R_0603_1608Metric",176.500000,-112.000000,0.000000,top
"R3","10k","R_0603_1608Metric",147.000000,-121.000000,0.000000,top
"R4","10k","R_0603_1608Metric",171.000000,-112.000000,0.000000,top
"R5","0R","R_0603_1608Metric",167.000000,-94.000000,90.000000,top
"R6","470k","R_0603_1608Metric",156.990000,-114.000000,90.000000,top
"R7","4.7k","R_0603_1608Metric",157.000000,-118.500000,90.000000,top
"R8","4.7k","R_0603_1608Metric",168.500000,-103.500000,0.000000,top
"R9","10k","R_0603_1608Metric",157.500000,-101.000000,180.000000,top
"R10","1k","R_0603_1608Metric",165.000000,-98.000000,0.000000,top
"R11","4.7k","R_0603_1608Metric",157.500000,-97.500000,0.000000,top
"R12","10","R_0603_1608Metric",173.500000,-115.000000,0.000000,top
"R13","100k","R_0603_1608Metric",157.000000,-105.000000,90.000000,top
"R20","100k","R_0603_1608Metric",204.000000,-118.450000,-90.000000,top
"R21","100R","R_0603_1608Metric",196.000000,-118.325000,90.000000,top
"TP1","12V_PROT","TestPoint_Pad_D1.0mm",176.000000,-123.500000,0.000000,top
"TP2","5V","TestPoint_Pad_D1.0mm",173.000000,-83.500000,0.000000,top
"TP3","GND","TestPoint_Pad_D1.0mm",165.000000,-83.500000,0.000000,top
"TP4","BUSY","TestPoint_Pad_D1.0mm",148.000000,-124.000000,0.000000,top
"TP5","SPK+","TestPoint_Pad_D1.0mm",143.000000,-124.000000,0.000000,top
"U1","TPS62163","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",164.000000,-90.975000,0.000000,top
"U2","DY-SV17F","DY-SV17F",141.000000,-106.000000,-90.000000,top
