Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric",156.500000,-81.000000,0.000000,top
"C2","10u","C_0805_2012Metric",163.050000,-81.000000,0.000000,top
"C3","10u","C_0805_2012Metric",195.050000,-67.490000,0.000000,top
"C4","10u","C_0805_2012Metric",201.050000,-67.500000,0.000000,top
"C5","100n","C_0805_2012Metric",195.050000,-73.510000,0.000000,top
"C6","100n","C_0805_2012Metric",178.450000,-81.000000,180.000000,top
"C7","100n","C_0805_2012Metric",185.500000,-86.000000,-90.000000,top
"C8","10u","C_0805_2012Metric",193.050000,-88.500000,0.000000,top
"C9","100n","C_0805_2012Metric",191.050000,-81.500000,0.000000,top
"C10","100n","C_0805_2012Metric",157.912500,-113.490000,-90.000000,top
"C11","100n","C_0805_2012Metric",162.912500,-113.500000,-90.000000,top
"C12","100n","C_0805_2012Metric",167.962500,-113.500000,-90.000000,top
"C13","100n","C_0805_2012Metric",173.000000,-113.500000,-90.000000,top
"C14","100n","C_0805_2012Metric",177.912500,-113.500000,-90.000000,top
"C15","100n","C_0805_2012Metric",182.500000,-113.500000,-90.000000,top
"C16","100n","C_0805_2012Metric",187.412500,-113.500000,-90.000000,top
"C17","100n","C_0805_2012Metric",192.500000,-113.500000,-90.000000,top
"C18","1u","C_0805_2012Metric",196.550000,-81.500000,0.000000,top
"D1","SMAJ15A","D_SMA",163.000000,-75.500000,0.000000,top
"F1","500mA","Fuse_1206_3216Metric",158.000000,-67.500000,0.000000,top
"J1","Batterie_12V","PinHeader_1x02_P2.54mm_Vertical",146.000000,-72.225000,0.000000,top
"J2","Lautsprecher","PinHeader_1x02_P2.54mm_Vertical",214.000000,-78.225000,0.000000,top
"J3","8_Taster","PinHeader_1x10_P2.54mm_Vertical",145.500000,-92.570000,0.000000,top
"J4","Prog_Header","PinHeader_1x04_P2.54mm_Vertical",207.920000,-67.500000,90.000000,top
"J5","Zaehler","PinHeader_1x02_P2.54mm_Vertical",213.500000,-109.225000,0.000000,top
"L1","10uH","L_1210_3225Metric",184.500000,-67.500000,0.000000,top
"Q1","SI2301CDS","SOT-23",152.062500,-71.000000,0.000000,top
"Q2","2N7002","SOT-23",206.000000,-113.275000,0.000000,top
"R1","100","R_0805_2012Metric",158.000000,-106.600000,0.000000,top
"R2","100","R_0805_2012Metric",163.000000,-106.500000,0.000000,top
"R3","100","R_0805_2012Metric",168.000000,-106.500000,0.000000,top
"R4","100","R_0805_2012Metric",172.912500,-106.500000,0.000000,top
"R5","100","R_0805_2012Metric",177.500000,-106.500000,0.000000,top
"R6","100","R_0805_2012Metric",182.412500,-106.500000,0.000000,top
"R7","100","R_0805_2012Metric",187.500000,-106.500000,0.000000,top
"R8","100","R_0805_2012Metric",192.000000,-106.500000,0.000000,top
"R9","10k","R_0805_2012Metric",179.087500,-90.000000,0.000000,top
"R10","10k","R_0805_2012Metric",205.500000,-106.500000,0.000000,top
"R11","10k","R_0805_2012Metric",151.500000,-65.500000,0.000000,top
"R12","10k","R_0805_2012Metric",145.587500,-85.500000,0.000000,top
"R13","1k","R_0805_2012Metric",185.500000,-81.500000,0.000000,top
"U1","WT588D-16P","DIP-16_W7.62mm",153.110000,-94.305000,90.000000,top
"U2","W25Q128JV","SOIC-8_3.9x4.9mm_P1.27mm",186.000000,-97.500000,0.000000,top
"U3","PAM8403","SOP-16_4.4x10.4mm_P1.27mm",204.500000,-93.000000,0.000000,top
"U4","TPS62203","SOT-23-5",177.500000,-67.500000,0.000000,top
"U5","SGM809","SOT-23",168.562500,-67.500000,0.000000,top
