Designator,Mid X,Mid Y,Layer,Rotation
C1,156.500,-81.000,Top,0
C2,163.050,-81.000,Top,0
C3,195.050,-67.490,Top,0
C4,201.050,-67.500,Top,0
C5,195.050,-73.510,Top,0
C6,178.450,-81.000,Top,180
C7,185.500,-86.000,Top,270
C8,193.050,-88.500,Top,0
C9,191.050,-81.500,Top,0
C10,157.913,-113.490,Top,270
C11,162.913,-113.500,Top,270
C12,167.963,-113.500,Top,270
C13,173.000,-113.500,Top,270
C14,177.913,-113.500,Top,270
C15,182.500,-113.500,Top,270
C16,187.413,-113.500,Top,270
C17,192.500,-113.500,Top,270
C18,196.550,-81.500,Top,0
D1,163.000,-75.500,Top,0
F1,158.000,-67.500,Top,0
L1,184.500,-67.500,Top,0
Q1,152.063,-71.000,Top,0
Q2,206.000,-113.275,Top,0
R1,158.000,-106.600,Top,0
R2,163.000,-106.500,Top,0
R3,168.000,-106.500,Top,0
R4,172.913,-106.500,Top,0
R5,177.500,-106.500,Top,0
R6,182.413,-106.500,Top,0
R7,187.500,-106.500,Top,0
R8,192.000,-106.500,Top,0
R9,179.088,-90.000,Top,0
R10,205.500,-106.500,Top,0
R11,151.500,-65.500,Top,0
R12,145.588,-85.500,Top,0
R13,185.500,-81.500,Top,0
U2,186.000,-97.500,Top,0
U3,204.500,-93.000,Top,0
U4,177.500,-67.500,Top,0
U5,168.563,-67.500,Top,0
